,Date,Runway,Target_Set_By_Controllers,Upper_Threshold_Set_By_Controllers,Time_Metering_Triggered,Max_Active_Delay_When_Triggered,Number_Active_Aircraft_When_Triggered,Max_Planning_Delay_When_Triggered,Number_Planning_Aircraft_When_Triggered,Max_Uncertain_Delay_When_Trigger,Time_Trigger_12MinActiveDelay_12MinPlanningDelay
0,12/3/17,36R,12,16,12/3/17 14:05,0 days 00:00:00,1,0 days 00:14:19,7,0 days 00:31:39,12/3/17 14:39
1,12/3/17,36C,12,16,12/3/17 14:32,0 days 00:06:14,15,0 days 00:10:28,12,0 days 00:08:27,FALSE
2,12/4/17,36R,12,14,12/4/17 14:08,0 days 00:00:30,2,0 days 00:14:17,5,0 days 00:20:56,12/4/17 14:33
3,12/4/17,36C,12,14,12/4/17 14:06,0 days 00:00:30,6,0 days 00:06:05,9,0 days 00:16:05,12/4/17 14:36
4,12/5/17,18L,14,18,12/5/17 14:11,0 days 00:00:00,1,0 days 00:11:26,13,0 days 00:38:18,12/5/17 14:35
5,12/5/17,18C,14,18,12/5/17 14:22,0 days 00:02:26,6,0 days 00:22:59,16,0 days 00:18:17,12/5/17 14:46
6,12/6/17,36R,14,18,12/6/17 14:12,0 days 00:04:28,4,0 days 00:13:59,9,0 days 00:34:20,12/6/17 14:41
7,12/6/17,36C,14,18,12/6/17 14:19,0 days 00:04:06,10,0 days 00:13:57,10,0 days 00:15:32,12/6/17 14:27
8,12/7/17,36R,13,17,12/7/17 14:20,0 days 00:02:12,8,0 days 00:18:45,9,0 days 00:30:31,12/7/17 14:36
9,12/7/17,36C,13,17,12/7/17 14:15,0 days 00:01:15,8,0 days 00:10:26,13,0 days 00:18:08,12/7/17 14:37
10,12/8/17,36R,12,14,12/8/17 14:22,0 days 00:00:00,5,0 days 00:05:36,7,0 days 00:24:08,12/8/17 14:58
11,12/8/17,36C,12,14,12/8/17 14:26,0 days 00:06:05,11,0 days 00:09:39,5,0 days 00:13:14,12/8/17 14:36
12,12/9/17,36R,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/9/17 15:01
13,12/9/17,36C,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,12/10/17,36R,14,17,12/10/17 14:42,0 days 00:16:07,14,0 days 00:35:33,5,0 days 00:38:34,12/10/17 14:37
15,12/10/17,36C,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,12/11/17,36R,14,16,12/11/17 14:14,0 days 00:03:57,5,0 days 00:12:46,7,0 days 00:43:29,12/11/17 14:29
17,12/11/17,36C,14,16,12/11/17 14:27,0 days 00:07:20,18,0 days 00:16:28,9,0 days 00:17:09,12/11/17 14:45
18,12/12/17,36R,14,18,12/12/17 14:25,0 days 00:08:04,9,0 days 00:10:40,6,0 days 00:38:12,12/12/17 14:45
19,12/12/17,36C,14,18,12/12/17 14:33,0 days 00:07:01,12,0 days 00:10:20,9,0 days 00:23:26,FALSE
24,12/13/17,18L,14,20,12/13/17 14:10,0 days 00:02:20,5,0 days 00:09:43,11,0 days 00:32:50,12/13/17 14:22
25,12/13/17,18C,14,20,12/13/17 14:28,0 days 00:04:44,14,0 days 00:12:08,7,0 days 00:20:09,12/13/17 14:56
26,12/14/17,18L,14,20,12/14/17 14:13,0 days 00:00:32,4,0 days 00:08:56,7,0 days 00:27:41,12/14/17 14:34
27,12/14/17,18C,14,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/14/17 14:55
28,12/15/17,36R,14,20,12/15/17 14:17,0 days 00:01:56,4,0 days 00:06:53,6,0 days 00:34:26,12/15/17 14:35
29,12/15/17,36C,14,20,12/15/17 14:24,0 days 00:02:39,9,0 days 00:11:56,11,0 days 00:23:52,FALSE
30,12/16/17,36R,14,18,12/16/17 14:24,0 days 00:00:18,4,0 days 00:12:26,6,0 days 00:31:59,12/16/17 14:55
31,12/16/17,36C,14,18,12/16/17 14:28,0 days 00:04:20,7,0 days 00:08:23,12,0 days 00:18:35,12/16/17 14:57
32,12/17/17,36R,14,16,12/17/17 14:38,0 days 00:01:38,8,0 days 00:07:33,5,0 days 00:29:58,12/17/17 14:43
33,12/17/17,36C,14,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,12/18/17,18L,14,18,12/18/17 14:11,0 days 00:00:00,3,0 days 00:08:38,9,0 days 00:22:50,12/18/17 14:38
37,12/18/17,18C,14,18,12/18/17 14:27,0 days 00:02:48,9,0 days 00:08:14,7,0 days 00:17:53,12/18/17 14:38
38,12/19/17,36R,14,18,12/19/17 14:09,0 days 00:00:41,2,0 days 00:03:33,5,0 days 00:44:56,12/19/17 14:44
39,12/19/17,36C,14,18,12/19/17 14:13,0 days 00:00:00,1,0 days 00:08:36,14,0 days 00:18:05,12/19/17 14:48
42,12/20/17,36R,14,16,12/20/17 14:35,0 days 00:02:14,7,0 days 00:13:57,9,0 days 00:35:10,12/20/17 14:48
43,12/20/17,36C,14,16,12/20/17 14:35,0 days 00:06:42,13,0 days 00:14:58,10,0 days 00:18:28,12/20/17 14:57
44,12/21/17,36R,12,14,12/21/17 14:39,0 days 00:09:31,13,0 days 00:22:24,6,0 days 00:36:42,12/21/17 14:49
45,12/21/17,36C,12,14,12/21/17 14:39,0 days 00:03:27,12,0 days 00:14:44,15,0 days 00:25:37,FALSE
46,12/22/17,18L,14,18,12/22/17 14:29,0 days 00:07:19,13,0 days 00:16:44,6,0 days 00:37:42,12/22/17 14:49
47,12/22/17,18C,14,18,12/22/17 14:30,0 days 00:02:42,9,0 days 00:10:44,5,0 days 00:19:15,FALSE
48,12/23/17,18L,14,18,12/23/17 14:41,0 days 00:01:37,7,0 days 00:01:57,3,0 days 00:19:44,12/23/17 14:55
49,12/23/17,18C,14,18,12/23/17 14:33,0 days 00:02:38,12,0 days 00:11:50,10,0 days 00:23:45,FALSE
50,12/24/17,36R,12,14,12/24/17 14:22,0 days 00:01:02,5,0 days 00:03:03,2,0 days 00:34:03,FALSE
51,12/24/17,36C,12,14,12/24/17 14:22,0 days 00:03:29,12,0 days 00:14:20,7,0 days 00:07:18,12/24/17 14:55
52,12/25/17,36R,14,18,12/25/17 14:14,0 days 00:00:14,1,0 days 00:06:47,5,0 days 00:22:54,FALSE
53,12/25/17,36C,14,18,12/25/17 14:37,0 days 00:08:31,15,0 days 00:08:37,7,0 days 00:18:29,FALSE
54,12/26/17,36R,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/26/17 14:39
55,12/26/17,36C,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/26/17 14:49
56,12/27/17,36R,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/27/17 14:33
57,12/27/17,36C,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/27/17 14:48
58,12/28/17,36R,14,18,12/28/17 14:41,0 days 00:11:41,7,0 days 00:14:58,5,0 days 00:35:46,12/28/17 14:40
59,12/28/17,36C,14,18,12/28/17 14:42,0 days 00:10:58,16,0 days 00:18:07,10,0 days 00:16:38,12/28/17 14:43
61,1/1/18,36R,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,1/1/18,36C,14,17,1/1/18 14:20,0 days 00:01:00,6,0 days 00:07:13,12,0 days 00:17:02,FALSE
63,1/2/18,36R,12,14,1/2/18 14:33,0 days 00:02:15,7,0 days 00:07:00,4,0 days 00:18:51,1/2/18 14:58
64,1/2/18,36C,12,14,1/2/18 14:20,0 days 00:04:07,10,0 days 00:06:31,8,0 days 00:13:56,FALSE
65,1/3/18,36R,10,12,1/3/18 14:20,0 days 00:00:00,2,0 days 00:06:47,7,0 days 00:31:24,FALSE
66,1/3/18,36C,10,12,1/3/18 14:27,0 days 00:03:15,13,0 days 00:13:02,10,0 days 00:10:48,1/3/18 14:52
67,1/4/18,36R,14,18,1/4/18 14:31,0 days 00:01:20,6,0 days 00:49:38,3,0 days 00:08:10,FALSE
68,1/4/18,36C,14,18,1/4/18 14:31,0 days 00:04:06,13,0 days 00:13:16,7,0 days 00:19:28,FALSE
69,1/5/18,36R,14,18,1/5/18 14:33,0 days 00:00:00,5,0 days 00:20:18,8,0 days 00:17:34,1/5/18 14:44
70,1/5/18,36C,14,18,1/5/18 14:32,0 days 00:09:44,17,0 days 00:12:04,4,0 days 00:22:35,1/5/18 14:54
71,1/6/18,36R,14,18,1/6/18 14:53,0 days 00:17:11,12,0 days 00:16:04,3,0 days 00:18:08,1/6/18 14:48
72,1/6/18,36C,14,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1/6/18 14:54
73,1/7/18,36R,14,18,1/7/18 14:40,0 days 00:02:34,6,0 days 00:09:25,7,0 days 00:30:44,1/7/18 15:07
74,1/7/18,36C,14,18,1/7/18 14:27,0 days 00:01:56,10,0 days 00:13:04,8,0 days 00:21:16,1/7/18 14:54
79,1/8/18,18L,14,17,1/8/18 14:13,0 days 00:00:02,1,0 days 00:07:09,6,0 days 00:15:22,FALSE
80,1/8/18,18C,14,17,1/8/18 14:36,0 days 00:07:28,13,0 days 00:16:50,10,0 days 00:30:41,1/8/18 14:52
81,1/9/18,36R,12,14,1/9/18 14:39,0 days 00:12:49,10,0 days 00:23:41,6,0 days 00:49:37,1/9/18 14:39
82,1/9/18,36C,12,14,1/9/18 14:46,0 days 00:15:01,13,0 days 00:15:14,15,0 days 00:28:56,1/9/18 14:34
83,1/10/18,36R,12,-1666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,1/10/18,36C,12,-1666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1/10/18 14:35
85,1/11/18,36R,12,-1666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1/11/18 14:47
86,1/11/18,36C,12,-1666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1/11/18 14:49
89,1/12/18,18L,12,12,1/12/18 14:43,0 days 00:12:32,8,0 days 00:14:07,5,0 days 00:29:40,1/12/18 14:43
90,1/12/18,18C,12,12,1/12/18 14:47,0 days 00:12:43,20,0 days 00:15:50,7,0 days 00:29:03,1/12/18 14:47
91,1/13/18,36R,12,12,1/13/18 14:39,0 days 00:12:27,13,0 days 00:20:29,4,0 days 00:35:21,1/13/18 14:39
92,1/13/18,36C,12,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,1/14/18,36R,12,12,1/14/18 14:53,0 days 00:12:45,11,0 days 00:26:00,9,0 days 00:24:03,1/14/18 14:53
94,1/14/18,36C,12,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,1/15/18,36R,10,12,1/15/18 14:57,0 days 00:11:06,9,0 days 00:18:14,2,0 days 00:25:28,1/15/18 14:58
96,1/15/18,36C,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE