,Date,Runway,Target_Set_By_Controllers,Upper_Threshold_Set_By_Controllers,Lower_Threshold_Set_By_Controllers,Time_Metering_Triggered,Max_Active_Delay_When_Triggered,Number_Active_Aircraft_When_Triggered,Max_Planning_Delay_When_Triggered,Number_Planning_Aircraft_When_Triggered,Max_Uncertain_Delay_When_Trigger,Time_Trigger_12MinActiveDelay_12MinPlanningDelay
0,2017-12-03,36R,12,16,11,2017-12-03 14:05:15,0 days 00:00:00,1,0 days 00:14:19,7,0 days 00:31:39,2017-12-03 14:39:55
1,2017-12-03,36C,12,16,11,2017-12-03 14:32:15,0 days 00:06:14,15,0 days 00:10:28,12,0 days 00:08:27,False
2,2017-12-04,36R,12,14,10,2017-12-04 14:08:35,0 days 00:00:30,2,0 days 00:14:17,5,0 days 00:20:56,2017-12-04 14:33:45
3,2017-12-04,36C,12,14,10,2017-12-04 14:06:55,0 days 00:00:30,6,0 days 00:06:05,9,0 days 00:16:05,2017-12-04 14:36:45
4,2017-12-05,18L,14,18,13,2017-12-05 14:11:54,0 days 00:00:00,1,0 days 00:11:26,13,0 days 00:38:18,2017-12-05 14:35:54
5,2017-12-05,18C,14,18,13,2017-12-05 14:22:04,0 days 00:02:26,6,0 days 00:22:59,16,0 days 00:18:17,2017-12-05 14:46:24
6,2017-12-06,36R,14,18,13,2017-12-06 14:12:54,0 days 00:04:28,4,0 days 00:13:59,9,0 days 00:34:20,2017-12-06 14:41:34
7,2017-12-06,36C,14,18,13,2017-12-06 14:19:44,0 days 00:04:06,10,0 days 00:13:57,10,0 days 00:15:32,2017-12-06 14:27:14
8,2017-12-07,36R,13,17,12,2017-12-07 14:20:14,0 days 00:02:12,8,0 days 00:18:45,9,0 days 00:30:31,2017-12-07 14:36:24
9,2017-12-07,36C,13,17,12,2017-12-07 14:15:04,0 days 00:01:15,8,0 days 00:10:26,13,0 days 00:18:08,2017-12-07 14:37:14
10,2017-12-08,36R,12,14,10,2017-12-08 14:22:44,0 days 00:00:00,5,0 days 00:05:36,7,0 days 00:24:08,2017-12-08 14:58:04
11,2017-12-08,36C,12,14,10,2017-12-08 14:26:14,0 days 00:06:05,11,0 days 00:09:39,5,0 days 00:13:14,2017-12-08 14:36:14
12,2017-12-09,36R,12,1,-2,False,False,False,False,False,False,2017-12-09 15:01:54
13,2017-12-09,36C,12,1,-2,False,False,False,False,False,False,False
14,2017-12-10,36R,14,17,13,2017-12-10 14:42:44,0 days 00:16:07,14,0 days 00:35:33,5,0 days 00:38:34,2017-12-10 14:37:05
15,2017-12-10,36C,14,17,13,False,False,False,False,False,False,False
16,2017-12-11,36R,14,16,12,2017-12-11 14:14:24,0 days 00:03:57,5,0 days 00:12:46,7,0 days 00:43:29,2017-12-11 14:29:04
17,2017-12-11,36C,14,16,12,2017-12-11 14:27:14,0 days 00:07:20,18,0 days 00:16:28,9,0 days 00:17:09,2017-12-11 14:45:24
18,2017-12-12,36R,14,18,13,2017-12-12 14:25:15,0 days 00:08:04,9,0 days 00:10:40,6,0 days 00:38:12,2017-12-12 14:45:05
19,2017-12-12,36C,14,18,13,2017-12-12 14:33:05,0 days 00:07:01,12,0 days 00:10:20,9,0 days 00:23:26,False
20,2017-12-12,18L,14,18,13,False,False,False,False,False,False,False
21,2017-12-12,18C,14,18,13,False,False,False,False,False,False,False
22,2017-12-13,36R,14,20,13,False,False,False,False,False,False,False
23,2017-12-13,36C,14,20,13,False,False,False,False,False,False,False
24,2017-12-13,18L,14,20,13,2017-12-13 14:10:55,0 days 00:02:20,5,0 days 00:09:43,11,0 days 00:32:50,2017-12-13 14:22:25
25,2017-12-13,18C,14,20,13,2017-12-13 14:28:35,0 days 00:04:44,14,0 days 00:12:08,7,0 days 00:20:09,2017-12-13 14:56:25
26,2017-12-14,18L,14,20,13,2017-12-14 14:13:15,0 days 00:00:32,4,0 days 00:08:56,7,0 days 00:27:41,2017-12-14 14:34:05
27,2017-12-14,18C,14,20,13,False,False,False,False,False,False,2017-12-14 14:55:45
28,2017-12-15,36R,14,20,13,2017-12-15 14:17:45,0 days 00:01:56,4,0 days 00:06:53,6,0 days 00:34:26,2017-12-15 14:35:15
29,2017-12-15,36C,14,20,13,2017-12-15 14:24:15,0 days 00:02:39,9,0 days 00:11:56,11,0 days 00:23:52,False
30,2017-12-16,36R,14,18,13,2017-12-16 14:24:15,0 days 00:00:18,4,0 days 00:12:26,6,0 days 00:31:59,2017-12-16 14:55:05
31,2017-12-16,36C,14,18,13,2017-12-16 14:28:05,0 days 00:04:20,7,0 days 00:08:23,12,0 days 00:18:35,2017-12-16 14:57:45
32,2017-12-17,36R,14,16,12,2017-12-17 14:38:45,0 days 00:01:38,8,0 days 00:07:33,5,0 days 00:29:58,2017-12-17 14:43:35
33,2017-12-17,36C,14,16,12,False,False,False,False,False,False,False
34,2017-12-17,18L,14,16,12,False,False,False,False,False,False,False
35,2017-12-17,18C,14,16,12,False,False,False,False,False,False,False
36,2017-12-18,18L,14,18,13,2017-12-18 14:11:15,0 days 00:00:00,3,0 days 00:08:38,9,0 days 00:22:50,2017-12-18 14:38:55
37,2017-12-18,18C,14,18,13,2017-12-18 14:27:25,0 days 00:02:48,9,0 days 00:08:14,7,0 days 00:17:53,2017-12-18 14:38:55
38,2017-12-19,36R,14,18,13,2017-12-19 14:09:05,0 days 00:00:41,2,0 days 00:03:33,5,0 days 00:44:56,2017-12-19 14:44:15
39,2017-12-19,36C,14,18,13,2017-12-19 14:13:05,0 days 00:00:00,1,0 days 00:08:36,14,0 days 00:18:05,2017-12-19 14:48:55
40,2017-12-19,18L,14,18,13,False,False,False,False,False,False,False
41,2017-12-19,18C,14,18,13,False,False,False,False,False,False,False
42,2017-12-20,36R,14,16,12,2017-12-20 14:35:26,0 days 00:02:14,7,0 days 00:13:57,9,0 days 00:35:10,2017-12-20 14:48:15
43,2017-12-20,36C,14,16,12,2017-12-20 14:35:26,0 days 00:06:42,13,0 days 00:14:58,10,0 days 00:18:28,2017-12-20 14:57:55
44,2017-12-21,36R,12,14,10,2017-12-21 14:39:56,0 days 00:09:31,13,0 days 00:22:24,6,0 days 00:36:42,2017-12-21 14:49:06
45,2017-12-21,36C,12,14,10,2017-12-21 14:39:56,0 days 00:03:27,12,0 days 00:14:44,15,0 days 00:25:37,False
46,2017-12-22,18L,14,18,13,2017-12-22 14:29:56,0 days 00:07:19,13,0 days 00:16:44,6,0 days 00:37:42,2017-12-22 14:49:26
47,2017-12-22,18C,14,18,13,2017-12-22 14:30:36,0 days 00:02:42,9,0 days 00:10:44,5,0 days 00:19:15,False
48,2017-12-23,18L,14,18,13,2017-12-23 14:41:05,0 days 00:01:37,7,0 days 00:01:57,3,0 days 00:19:44,2017-12-23 14:55:25
49,2017-12-23,18C,14,18,13,2017-12-23 14:33:46,0 days 00:02:38,12,0 days 00:11:50,10,0 days 00:23:45,False
50,2017-12-24,36R,12,14,10,2017-12-24 14:22:55,0 days 00:01:02,5,0 days 00:03:03,2,0 days 00:34:03,False
51,2017-12-24,36C,12,14,10,2017-12-24 14:22:55,0 days 00:03:29,12,0 days 00:14:20,7,0 days 00:07:18,2017-12-24 14:55:16
52,2017-12-25,36R,14,18,13,2017-12-25 14:14:05,0 days 00:00:14,1,0 days 00:06:47,5,0 days 00:22:54,False
53,2017-12-25,36C,14,18,13,2017-12-25 14:37:45,0 days 00:08:31,15,0 days 00:08:37,7,0 days 00:18:29,False
54,2017-12-26,36R,12,1,-2,False,False,False,False,False,False,2017-12-26 14:39:06
55,2017-12-26,36C,12,1,-2,False,False,False,False,False,False,2017-12-26 14:49:46
56,2017-12-27,36R,12,1,-2,False,False,False,False,False,False,2017-12-27 14:33:46
57,2017-12-27,36C,12,1,-2,False,False,False,False,False,False,2017-12-27 14:48:56
58,2017-12-28,36R,14,18,13,2017-12-28 14:41:27,0 days 00:11:41,7,0 days 00:14:58,5,0 days 00:35:46,2017-12-28 14:40:26
59,2017-12-28,36C,14,18,13,2017-12-28 14:42:16,0 days 00:10:58,16,0 days 00:18:07,10,0 days 00:16:38,2017-12-28 14:43:16
60,2017-12-28,18C,14,18,13,False,False,False,False,False,False,False
61,2018-01-01,36R,14,17,13,False,False,False,False,False,False,False
62,2018-01-01,36C,14,17,13,2018-01-01 14:20:56,0 days 00:01:00,6,0 days 00:07:13,12,0 days 00:17:02,False
63,2018-01-02,36R,12,14,10,2018-01-02 14:33:56,0 days 00:02:15,7,0 days 00:07:00,4,0 days 00:18:51,2018-01-02 14:58:36
64,2018-01-02,36C,12,14,10,2018-01-02 14:20:46,0 days 00:04:07,10,0 days 00:06:31,8,0 days 00:13:56,False
65,2018-01-03,36R,10,12,8,2018-01-03 14:20:26,0 days 00:00:00,2,0 days 00:06:47,7,0 days 00:31:24,False
66,2018-01-03,36C,10,12,8,2018-01-03 14:27:16,0 days 00:03:15,13,0 days 00:13:02,10,0 days 00:10:48,2018-01-03 14:52:26
67,2018-01-04,36R,14,18,13,2018-01-04 14:31:36,0 days 00:01:20,6,0 days 00:49:38,3,0 days 00:08:10,False
68,2018-01-04,36C,14,18,13,2018-01-04 14:31:36,0 days 00:04:06,13,0 days 00:13:16,7,0 days 00:19:28,False
69,2018-01-05,36R,14,18,13,2018-01-05 14:33:46,0 days 00:00:00,5,0 days 00:20:18,8,0 days 00:17:34,2018-01-05 14:44:06
70,2018-01-05,36C,14,18,13,2018-01-05 14:32:27,0 days 00:09:44,17,0 days 00:12:04,4,0 days 00:22:35,2018-01-05 14:54:36
71,2018-01-06,36R,14,18,13,2018-01-06 14:53:16,0 days 00:17:11,12,0 days 00:16:04,3,0 days 00:18:08,2018-01-06 14:48:06
72,2018-01-06,36C,14,18,13,False,False,False,False,False,False,2018-01-06 14:54:56
73,2018-01-07,36R,14,18,13,2018-01-07 14:40:26,0 days 00:02:34,6,0 days 00:09:25,7,0 days 00:30:44,2018-01-07 15:07:46
74,2018-01-07,36C,14,18,13,2018-01-07 14:27:16,0 days 00:01:56,10,0 days 00:13:04,8,0 days 00:21:16,2018-01-07 14:54:16
75,2018-01-07,18L,14,18,13,False,False,False,False,False,False,False
76,2018-01-07,18C,14,18,13,False,False,False,False,False,False,False
77,2018-01-08,36R,14,17,13,2018-01-08 14:57:57,0 days 00:04:07,5,0 days 00:00:36,1,0 days 00:21:06,False
78,2018-01-08,36C,14,17,13,2018-01-08 14:57:47,0 days 00:10:23,11,0 days 00:00:00,2,0 days 00:17:24,False
79,2018-01-08,18L,14,17,13,2018-01-08 14:13:56,0 days 00:00:02,1,0 days 00:07:09,6,0 days 00:15:22,False
80,2018-01-08,18C,14,17,13,2018-01-08 14:36:26,0 days 00:07:28,13,0 days 00:16:50,10,0 days 00:30:41,2018-01-08 14:52:36
81,2018-01-09,36R,12,14,10,2018-01-09 14:39:18,0 days 00:12:49,10,0 days 00:23:41,6,0 days 00:49:37,2018-01-09 14:39:08
82,2018-01-09,36C,12,14,10,2018-01-09 14:46:48,0 days 00:15:01,13,0 days 00:15:14,15,0 days 00:28:56,2018-01-09 14:34:28
83,2018-01-10,36R,12,-1666,-1666,False,False,False,False,False,False,False
84,2018-01-10,36C,12,-1666,-1666,False,False,False,False,False,False,2018-01-10 14:35:38
85,2018-01-11,36R,12,-1666,-1666,False,False,False,False,False,False,2018-01-11 14:47:15
86,2018-01-11,36C,12,-1666,-1666,False,False,False,False,False,False,2018-01-11 14:49:45
87,2018-01-12,36R,12,12,6,False,False,False,False,False,False,False
88,2018-01-12,36C,12,12,6,False,False,False,False,False,False,False
89,2018-01-12,18L,12,12,6,2018-01-12 14:43:55,0 days 00:12:32,8,0 days 00:14:07,5,0 days 00:29:40,2018-01-12 14:43:55
90,2018-01-12,18C,12,12,6,2018-01-12 14:47:15,0 days 00:12:43,20,0 days 00:15:50,7,0 days 00:29:03,2018-01-12 14:47:15
91,2018-01-13,36R,12,12,6,2018-01-13 14:39:11,0 days 00:12:27,13,0 days 00:20:29,4,0 days 00:35:21,2018-01-13 14:39:11
92,2018-01-13,36C,12,12,6,False,False,False,False,False,False,False
93,2018-01-14,36R,12,12,6,2018-01-14 14:53:21,0 days 00:12:45,11,0 days 00:26:00,9,0 days 00:24:03,2018-01-14 14:53:21
94,2018-01-14,36C,12,12,6,False,False,False,False,False,False,False
95,2018-01-15,36R,10,12,8,2018-01-15 14:57:41,0 days 00:11:06,9,0 days 00:18:14,2,0 days 00:25:28,2018-01-15 14:58:12
96,2018-01-15,36C,10,12,8,False,False,False,False,False,False,False
97,2018-01-16,36R,9,11,7,2018-01-16 14:29:11,0 days 00:09:36,10,0 days 00:15:26,8,0 days 00:45:43,2018-01-16 14:45:31
98,2018-01-16,36C,9,11,7,False,False,False,False,False,False,False
99,2018-01-16,18L,9,11,7,False,False,False,False,False,False,False
100,2018-01-16,18C,9,11,7,False,False,False,False,False,False,False
101,2018-01-17,36R,12,-1666,-1666,False,False,False,False,False,False,2018-01-17 13:30:02
102,2018-01-17,36C,12,-1666,-1666,False,False,False,False,False,False,2018-01-17 13:30:02
103,2018-01-18,36R,12,-1666,-1666,False,False,False,False,False,False,False
104,2018-01-18,36C,12,-1666,-1666,False,False,False,False,False,False,2018-01-18 14:23:51
105,2018-01-19,36R,12,12,6,2018-01-19 14:40:22,0 days 00:13:44,11,0 days 00:35:53,5,0 days 00:51:44,2018-01-19 14:40:22
106,2018-01-19,36C,12,12,6,2018-01-19 14:32:02,0 days 00:12:09,20,0 days 00:14:57,4,0 days 00:23:07,2018-01-19 14:32:02
107,2018-01-20,36R,12,12,6,2018-01-20 14:46:12,0 days 00:12:09,11,0 days 00:12:35,3,0 days 00:23:26,2018-01-20 14:46:12
108,2018-01-20,36C,12,12,6,2018-01-20 14:33:02,0 days 00:12:05,21,0 days 00:13:08,6,0 days 00:13:09,2018-01-20 14:33:02
109,2018-01-21,18L,9,11,7,2018-01-21 14:35:12,0 days 00:09:17,12,0 days 00:11:05,6,0 days 00:20:38,2018-01-21 14:40:02
110,2018-01-21,18C,9,11,7,2018-01-21 14:28:22,0 days 00:09:15,11,0 days 00:13:35,5,0 days 00:17:24,2018-01-21 14:42:42
111,2018-01-22,18L,9,11,7,2018-01-22 14:38:52,0 days 00:12:22,8,0 days 00:18:26,4,0 days 00:40:00,2018-01-22 14:25:52
112,2018-01-22,18C,9,11,7,2018-01-22 14:29:32+00:00,0 days 00:09:15,17,0 days 00:17:19,2,0 days 00:09:52,2018-01-22 14:38:02
113,2018-01-23,18L,9,11,7,2018-01-23 14:35:32,0 days 00:12:34,11,0 days 00:11:18,5,0 days 00:29:00,2018-01-23 14:37:02
114,2018-01-23,18C,9,11,7,2018-01-23 14:49:52,0 days 00:09:42,16,0 days 00:15:08,6,0 days 00:23:07,False
115,2018-01-24,36R,9,11,7,2018-01-24 14:36:22,0 days 00:10:18,11,0 days 00:16:12,6,0 days 00:37:46,2018-01-24 14:41:02
116,2018-01-24,36C,9,11,7,2018-01-24 14:28:52,0 days 00:09:49,13,0 days 00:13:09,7,0 days 00:09:10,2018-01-24 14:39:12
117,2018-01-25,36R,12,12,6,2018-01-25 14:38:40,0 days 00:14:37,12,0 days 00:17:02,5,0 days 00:34:22,2018-01-25 14:37:40
118,2018-01-25,36C,12,12,6,2018-01-25 14:50:40,0 days 00:12:32,21,0 days 00:10:42,2,0 days 00:20:44,2018-01-25 15:00:30
119,2018-01-26,18L,12,12,6,2018-01-26 14:37:50,0 days 00:12:44,9,0 days 00:26:15,7,0 days 00:34:47,2018-01-26 14:37:50
120,2018-01-26,18C,12,12,6,2018-01-26 14:46:50,0 days 00:12:13,21,0 days 00:20:42,5,0 days 00:26:28,2018-01-26 14:46:50
121,2018-01-27,18L,12,12,6,2018-01-27 14:41:30,0 days 00:12:31,14,0 days 00:20:01,7,0 days 00:29:56,2018-01-27 14:38:10
122,2018-01-27,18C,12,12,6,2018-01-27 14:41:30,0 days 00:16:33,19,0 days 00:15:24,3,0 days 00:12:56,2018-01-27 14:41:00
123,2018-01-28,36R,14,16,12,2018-01-28 14:59:10,0 days 00:14:32,13,0 days 00:21:26,4,0 days 00:30:59,2018-01-28 14:39:40
124,2018-01-28,36C,14,16,12,False,False,False,False,False,False,2018-01-28 14:35:40
125,2018-01-29,36R,14,16,12,2018-01-29 14:42:40,0 days 00:14:27,12,0 days 00:21:11,4,0 days 00:32:36,2018-01-29 14:40:50
126,2018-01-29,36C,14,16,12,2018-01-29 14:29:00,0 days 00:14:57,18,0 days 00:18:21,8,0 days 00:31:12,2018-01-29 14:29:00
